# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0 99 99 99 99 99 99 99 99 99 99 99 99 99 99
0.103 26.521 26.540 27.521 27.714 28.722 29.438 27.503 29.097 29.306 31.639 29.772 30.060 32.814 29.973 
0.109 22.993 23.245 24.132 25.378 23.195 27.881 24.035 23.957 27.976 29.039 32.461 27.736 29.892 28.342 
0.116 22.924 23.110 22.519 25.366 26.152 25.558 22.987 26.065 26.021 24.909 26.965 29.095 32.645 25.753 
0.122 21.828 22.794 22.422 23.319 24.211 25.729 22.711 24.002 24.446 24.149 28.845 27.967 28.860 24.995 
0.130 21.888 22.298 22.366 23.156 23.380 24.074 22.390 23.701 24.351 22.591 22.956 30.149 29.531 23.600 
0.137 22.065 22.354 22.215 23.565 24.150 23.129 22.459 23.674 23.858 23.827 24.830 26.170 26.056 24.280 
0.145 21.622 22.284 22.407 22.876 23.510 25.180 22.508 23.546 25.036 24.444 26.414 26.053 26.948 25.171 
0.154 21.526 22.030 22.910 22.716 24.221 24.911 22.546 24.415 25.471 24.183 26.307 27.775 27.651 25.040 
0.163 21.803 22.043 23.050 22.591 23.169 24.399 22.624 23.345 24.345 23.559 23.391 25.703 26.103 23.796 
0.173 21.535 22.121 22.792 23.250 23.864 24.467 22.686 23.927 24.341 25.065 25.571 26.357 24.745 25.008 
0.183 21.761 21.893 22.624 23.253 23.236 25.192 22.521 23.657 24.454 24.769 25.505 25.631 27.341 25.008 
0.194 21.562 22.297 22.572 22.924 23.136 23.266 22.634 23.095 23.612 23.669 24.207 25.788 25.073 24.018 
0.206 21.698 22.347 22.699 24.210 24.171 23.257 22.844 23.950 23.664 24.400 24.192 24.986 26.358 24.151 
0.218 21.702 22.453 23.085 23.081 23.599 23.492 23.018 23.348 24.121 24.822 24.533 25.399 25.600 24.582 
0.231 21.785 22.221 23.013 23.611 23.634 23.927 22.915 23.675 23.789 24.372 25.528 24.530 25.011 24.305 
0.244 21.804 22.237 22.967 23.201 23.449 24.017 22.865 23.527 23.780 24.708 24.877 24.782 25.771 24.472 
0.259 21.698 22.443 23.144 23.509 23.281 23.987 22.986 23.573 23.719 23.474 23.778 24.009 25.187 23.711 
0.274 21.831 22.493 23.019 23.538 23.362 23.888 23.042 23.549 24.250 24.509 24.466 25.320 25.453 24.454 
0.290 21.830 22.413 23.150 23.388 23.847 23.671 23.095 23.753 23.698 23.960 24.399 24.901 25.398 24.123 
0.308 21.905 22.449 23.020 23.407 23.802 23.816 23.006 23.794 23.929 24.270 24.748 25.000 25.254 24.344 
0.326 21.969 22.384 23.069 23.339 23.426 23.327 22.976 23.353 23.831 24.035 24.803 24.962 24.605 24.220 
0.345 22.135 22.621 23.035 23.371 23.754 23.634 22.992 23.651 23.762 24.030 24.586 24.823 25.853 24.217 
0.366 22.090 22.655 23.127 23.470 23.364 23.733 23.080 23.486 23.962 24.028 24.433 25.137 26.091 24.239 
0.387 22.180 22.624 22.952 23.198 23.317 23.436 22.945 23.286 23.736 24.245 24.256 24.589 25.265 24.088 
0.410 22.213 22.705 23.062 23.375 23.629 23.498 23.103 23.470 23.724 23.926 23.985 24.042 24.833 23.854 
0.435 22.236 22.658 23.085 23.405 23.421 23.577 23.046 23.525 23.561 23.706 24.004 24.151 24.655 23.771 
0.461 22.344 22.656 22.849 23.206 23.519 23.612 22.887 23.447 23.707 23.652 23.965 24.446 24.577 23.874 
0.488 22.440 22.776 22.999 23.116 23.311 23.547 22.998 23.319 23.662 23.745 23.937 24.118 24.461 23.828 
0.517 22.457 22.789 22.917 23.252 23.185 23.444 22.977 23.273 23.510 23.554 23.709 24.119 24.574 23.674 
