# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 26.298 25.562 27.209 28.780 28.728 30.532 26.685 28.740 29.696 29.144 29.321 34.743 33.273 29.730 
0.109 21.765 22.108 23.641 25.254 26.874 28.247 23.438 26.923 26.772 28.796 26.790 26.364 28.743 27.135 
0.116 21.569 21.743 21.776 25.885 21.988 23.424 21.942 22.590 24.283 23.238 26.417 27.974 31.918 24.082 
0.122 21.105 21.354 21.140 21.949 25.904 23.911 21.342 23.113 23.299 21.253 25.068 26.446 27.909 22.340 
0.130 20.502 21.199 21.075 23.160 22.789 25.600 21.370 23.033 22.238 25.126 27.966 29.797 29.366 23.463 
0.137 20.869 21.036 21.011 23.118 21.762 23.407 21.236 22.278 22.578 25.103 26.884 24.847 29.121 23.677 
0.145 20.347 21.112 21.336 21.915 23.702 23.896 21.471 22.623 24.364 22.624 24.334 24.974 25.601 23.488 
0.154 20.336 21.009 21.295 21.993 23.271 23.634 21.355 23.065 24.245 22.659 24.019 27.755 28.896 23.605 
0.163 20.410 20.954 21.801 21.587 22.827 23.915 21.679 22.326 23.123 21.746 23.007 24.356 24.622 22.579 
0.173 20.459 21.141 21.993 21.592 22.646 23.062 21.630 22.586 23.401 24.004 25.662 25.096 22.563 24.160 
0.183 20.313 20.645 21.284 22.205 21.616 22.561 21.201 22.107 22.357 23.140 24.542 24.915 23.414 23.111 
0.194 20.544 21.054 21.300 21.694 22.113 23.290 21.385 22.094 22.841 23.228 23.301 23.779 27.349 23.153 
0.206 20.470 21.055 21.775 23.109 22.428 23.114 21.846 22.722 23.411 22.968 23.039 24.286 28.669 23.441 
0.218 20.567 21.056 21.865 21.856 22.484 21.577 21.635 22.081 22.330 23.271 22.440 24.752 24.262 22.661 
0.231 20.660 21.108 21.622 22.076 22.044 21.806 21.560 22.139 22.753 23.699 24.630 24.322 24.000 23.502 
0.244 20.529 21.149 21.700 22.230 22.349 23.239 21.830 22.351 23.499 23.166 23.264 25.269 26.047 23.436 
0.259 20.749 21.376 21.812 22.297 21.913 23.110 21.826 22.282 22.399 22.399 22.763 23.395 24.166 22.688 
0.274 20.573 21.298 21.716 22.152 22.192 22.803 21.724 22.376 22.768 22.692 23.151 23.980 24.174 23.018 
0.290 20.636 21.272 21.692 22.585 22.334 23.027 21.814 22.522 22.806 23.446 23.916 24.192 24.422 23.385 
0.308 20.688 21.304 21.871 22.248 22.479 21.938 21.833 22.246 22.160 22.729 23.181 24.838 23.966 22.823 
0.326 20.806 21.318 21.982 22.262 21.967 22.828 21.900 22.256 22.804 23.028 23.392 23.218 24.572 23.029 
0.345 20.821 21.237 21.863 21.968 22.241 22.467 21.770 22.125 22.690 22.954 23.152 23.429 23.810 23.009 
0.366 20.951 21.400 21.913 22.203 22.232 22.772 21.878 22.335 22.847 22.984 23.114 23.965 24.688 23.095 
0.387 21.005 21.445 21.745 22.000 22.130 22.333 21.750 22.100 22.481 22.444 22.704 23.225 23.797 22.639 
0.410 21.059 21.537 21.833 22.221 21.835 22.301 21.872 22.067 22.478 22.604 23.219 23.725 24.266 22.844 
0.435 21.033 21.483 21.755 21.918 22.251 22.446 21.794 22.192 22.627 22.795 22.452 22.775 23.921 22.641 
0.461 21.142 21.422 21.727 21.837 22.265 22.231 21.682 22.178 22.291 22.430 22.615 22.888 23.230 22.499 
0.488 21.165 21.427 21.673 21.822 21.970 22.273 21.661 21.972 22.323 22.201 22.723 23.194 23.573 22.526 
0.517 21.199 21.540 21.569 21.832 22.024 22.040 21.622 22.005 22.108 22.156 22.813 23.361 23.123 22.425 
0.547 21.264 21.536 21.460 21.894 21.919 22.055 21.576 21.963 22.063 22.305 22.539 23.346 23.369 22.387 
0.580 21.421 21.571 21.587 21.611 21.873 21.699 21.602 21.716 21.821 22.006 22.380 22.901 23.063 22.133 
0.614 21.596 21.622 21.595 21.701 21.729 21.784 21.627 21.742 21.863 22.152 22.402 22.677 23.099 22.189 
0.651 21.866 21.627 21.545 21.553 21.705 21.738 21.532 21.674 21.723 21.934 22.318 22.562 22.891 22.043 
0.689 22.066 21.734 21.605 21.561 21.668 21.719 21.586 21.682 21.779 21.944 22.219 22.516 22.726 22.047 
0.730 22.185 21.906 21.639 21.667 21.661 21.751 21.681 21.706 21.783 21.942 22.244 22.352 22.843 22.024 
0.773 22.561 22.076 21.783 21.721 21.623 21.853 21.813 21.691 21.823 21.836 22.106 22.401 22.697 21.995 
0.819 22.726 22.203 21.900 21.733 21.661 21.759 21.895 21.692 21.802 21.810 22.025 22.327 22.562 21.946 
0.868 22.983 22.362 22.050 21.904 21.827 21.804 22.075 21.801 21.886 21.947 22.058 22.199 22.271 21.995 
0.919 23.145 22.509 22.163 21.964 21.916 21.884 22.166 21.889 21.918 21.906 22.027 22.208 22.423 21.985 
0.974 23.375 22.677 22.224 22.076 21.898 21.967 22.253 21.928 22.049 21.937 22.040 22.189 22.468 22.047 
1.032 23.692 22.865 22.415 22.196 22.053 22.071 22.415 22.075 22.130 22.031 22.030 22.202 22.394 22.098 
