# t[days] lsstu lsstg lsstr lssti lsstz lssty
0.000 27.942 27.884 27.953 28.073 28.201 28.317
0.250 27.244 26.577 26.212 26.086 26.063 26.078
0.500 27.597 26.556 25.929 25.651 25.54 25.497
0.750 28.209 26.835 25.978 25.562 25.368 25.271
1.000 28.917 27.233 26.166 25.62 25.347 25.198
1.250 29.772 27.766 26.486 25.806 25.45 25.246
1.500 30.784 28.43 26.925 26.103 25.658 25.392
1.750 31.965 29.226 27.479 26.502 25.96 25.628
2.000 33.307 30.141 28.135 26.991 26.344 25.94
2.250 34.76 31.138 28.865 27.549 26.794 26.314
2.500 36.142 32.115 29.604 28.13 27.273 26.721
2.750 37.183 32.931 30.264 28.674 27.737 27.125
3.000 37.84 33.496 30.761 29.112 28.128 27.477
3.250 38.323 33.881 31.104 29.428 28.423 27.753
3.500 38.753 34.185 31.353 29.65 28.631 27.952
3.750 39.167 34.462 31.562 29.822 28.785 28.095
4.000 39.569 34.726 31.753 29.969 28.908 28.205
4.250 39.969 34.989 31.941 30.111 29.022 28.301
4.500 40.357 35.245 32.123 30.245 29.127 28.386
4.750 40.742 35.499 32.305 30.38 29.232 28.47
5.000 41.126 35.754 32.489 30.517 29.338 28.554
5.250 41.499 36.003 32.668 30.651 29.442 28.636
5.500 41.871 36.251 32.849 30.786 29.548 28.721
5.750 42.242 36.5 33.031 30.924 29.657 28.808
6.000 42.612 36.749 33.214 31.063 29.767 28.898
6.250 42.973 36.993 33.393 31.199 29.876 28.986
6.500 43.336 37.238 33.574 31.338 29.987 29.077
6.750 43.701 37.485 33.758 31.48 30.101 29.171
7.000 44.064 37.732 33.942 31.622 30.217 29.266
7.250 44.42 37.974 34.123 31.762 30.33 29.36
7.500 44.78 38.22 34.307 31.906 30.447 29.457
7.750 45.141 38.467 34.492 32.051 30.565 29.555
8.000 45.503 38.714 34.679 32.197 30.685 29.656
8.250 45.863 38.962 34.866 32.344 30.806 29.757
8.500 46.22 39.207 35.051 32.49 30.926 29.858
8.750 46.582 39.456 35.24 32.639 31.05 29.962
9.000 46.944 39.706 35.43 32.79 31.175 30.068
9.250 47.31 39.959 35.623 32.943 31.302 30.176
9.500 47.676 40.212 35.816 33.097 31.43 30.285
9.750 48.039 40.464 36.009 33.25 31.558 30.394
10.000 48.406 40.718 36.203 33.406 31.688 30.504
10.250 48.776 40.976 36.4 33.564 31.82 30.617
10.500 49.149 41.235 36.6 33.724 31.955 30.732
10.750 49.524 41.496 36.801 33.885 32.091 30.849
11.000 49.902 41.76 37.004 34.049 32.228 30.967
11.250 50.278 42.022 37.206 34.212 32.366 31.086
11.500 50.659 42.288 37.411 34.377 32.506 31.206
11.750 51.042 42.556 37.618 34.545 32.648 31.328
12.000 51.428 42.826 37.827 34.714 32.791 31.452
12.250 51.819 43.099 38.039 34.886 32.937 31.578
12.500 52.213 43.375 38.253 35.06 33.085 31.707
12.750 52.61 43.654 38.469 35.236 33.235 31.836
13.000 53.007 43.932 38.685 35.412 33.385 31.966
13.250 53.407 44.212 38.903 35.589 33.537 32.098
13.500 53.811 44.495 39.123 35.77 33.691 32.232
13.750 54.218 44.781 39.346 35.952 33.847 32.368
14.000 54.626 45.067 39.569 36.135 34.004 32.505
14.250 55.039 45.357 39.796 36.321 34.163 32.644
14.500 55.452 45.648 40.023 36.508 34.324 32.785
14.750 55.865 45.94 40.252 36.697 34.487 32.927
15.000 56.116 46.12 40.395 36.816 34.59 33.019
15.250 56.13 46.134 40.41 36.83 34.605 33.033
15.500 56.145 46.149 40.425 36.845 34.62 33.048
15.750 56.161 46.165 40.44 36.861 34.635 33.064
16.000 56.177 46.18 40.456 36.876 34.651 33.08
16.250 56.193 46.196 40.472 36.892 34.667 33.096
16.500 56.209 46.213 40.488 36.909 34.684 33.112
16.750 56.226 46.229 40.505 36.925 34.7 33.128
